participant,trial,source,dataset,elevation_deg,elevation_label,response,correct,rt_s
p01,1,electric_guitar,CIPIC Human,51,up,up,True,5.355
p01,2,solo_violin,CIPIC KEMAR,51,up,up,True,1.456
p01,3,electric_guitar,CIPIC Human,-51,down,up,False,1.326
p01,4,electric_guitar,CIPIC KEMAR,-51,down,middle,False,3.161
p01,5,solo_violin,CIPIC KEMAR,-51,down,up,False,6.85
p01,6,electric_guitar,CIPIC Human,0,middle,up,False,2.035
p01,7,electric_guitar,CIPIC KEMAR,51,up,middle,False,4.033
p01,8,solo_violin,CIPIC KEMAR,0,middle,down,False,2.932
p01,9,electric_guitar,CIPIC KEMAR,0,middle,down,False,4.051
p01,10,solo_violin,CIPIC Human,0,middle,up,False,7.216
p01,11,solo_violin,CIPIC Human,-51,down,up,False,4.691
p01,12,solo_violin,CIPIC Human,51,up,middle,False,4.655
p02,1,solo_violin,CIPIC Human,0,middle,down,False,3.139
p02,2,electric_guitar,CIPIC KEMAR,0,middle,middle,True,4.478
p02,3,solo_violin,CIPIC KEMAR,0,middle,middle,True,1.986
p02,4,electric_guitar,CIPIC KEMAR,-51,down,down,True,2.934
p02,5,solo_violin,CIPIC KEMAR,-51,down,up,False,1.35
p02,6,electric_guitar,CIPIC Human,51,up,middle,False,6.851
p02,7,solo_violin,CIPIC Human,-51,down,down,True,2.739
p02,8,solo_violin,CIPIC KEMAR,51,up,middle,False,2.826
p02,9,electric_guitar,CIPIC KEMAR,51,up,down,False,1.421
p02,10,solo_violin,CIPIC Human,51,up,middle,False,6.395
p02,11,electric_guitar,CIPIC Human,-51,down,up,False,3.064
p02,12,electric_guitar,CIPIC Human,0,middle,middle,True,2.845
p03,1,electric_guitar,CIPIC KEMAR,-51,down,middle,False,6.832
p03,2,solo_violin,CIPIC Human,51,up,up,True,4.078
p03,3,electric_guitar,CIPIC KEMAR,0,middle,middle,True,1.646
p03,4,solo_violin,CIPIC KEMAR,-51,down,up,False,1.442
p03,5,solo_violin,CIPIC Human,0,middle,middle,True,3.01
p03,6,electric_guitar,CIPIC KEMAR,51,up,up,True,1.918
p03,7,solo_violin,CIPIC KEMAR,0,middle,down,False,1.367
p03,8,electric_guitar,CIPIC Human,0,middle,up,False,2.018
p03,9,solo_violin,CIPIC Human,-51,down,down,True,3.126
p03,10,solo_violin,CIPIC KEMAR,51,up,down,False,1.227
p03,11,electric_guitar,CIPIC Human,-51,down,middle,False,1.611
p03,12,electric_guitar,CIPIC Human,51,up,up,True,1.46
p04,1,electric_guitar,CIPIC KEMAR,0,middle,middle,True,6.737
p04,2,electric_guitar,CIPIC KEMAR,-51,down,down,True,1.933
p04,3,electric_guitar,CIPIC Human,-51,down,up,False,1.285
p04,4,solo_violin,CIPIC KEMAR,51,up,middle,False,1.117
p04,5,electric_guitar,CIPIC Human,0,middle,middle,True,1.624
p04,6,electric_guitar,CIPIC KEMAR,51,up,up,True,3.37
p04,7,electric_guitar,CIPIC Human,51,up,middle,False,1.647
p04,8,solo_violin,CIPIC KEMAR,0,middle,middle,True,3.512
p04,9,solo_violin,CIPIC KEMAR,-51,down,up,False,2.252
p04,10,solo_violin,CIPIC Human,51,up,down,False,1.401
p04,11,solo_violin,CIPIC Human,-51,down,up,False,2.526
p04,12,solo_violin,CIPIC Human,0,middle,middle,True,1.32
p05,1,electric_guitar,CIPIC Human,51,up,middle,False,6.981
p05,2,solo_violin,CIPIC KEMAR,-51,down,down,True,1.03
p05,3,solo_violin,CIPIC KEMAR,0,middle,up,False,1.479
p05,4,solo_violin,CIPIC Human,0,middle,middle,True,1.161
p05,5,solo_violin,CIPIC Human,-51,down,up,False,1.272
p05,6,electric_guitar,CIPIC KEMAR,-51,down,middle,False,2.789
p05,7,electric_guitar,CIPIC Human,-51,down,middle,False,4.339
p05,8,solo_violin,CIPIC KEMAR,51,up,up,True,1.347
p05,9,electric_guitar,CIPIC Human,0,middle,middle,True,2.825
p05,10,solo_violin,CIPIC Human,51,up,up,True,1.166
p05,11,electric_guitar,CIPIC KEMAR,51,up,middle,False,1.7
p05,12,electric_guitar,CIPIC KEMAR,0,middle,up,False,1.869
p06,1,electric_guitar,CIPIC Human,0,middle,middle,True,7.97
p06,2,electric_guitar,CIPIC KEMAR,51,up,up,True,6.448
p06,3,solo_violin,CIPIC Human,51,up,down,False,4.798
p06,4,solo_violin,CIPIC KEMAR,51,up,middle,False,2.077
p06,5,solo_violin,CIPIC KEMAR,-51,down,up,False,1.63
p06,6,electric_guitar,CIPIC KEMAR,-51,down,up,False,4.27
p06,7,solo_violin,CIPIC Human,-51,down,down,True,3.351
p06,8,electric_guitar,CIPIC Human,51,up,middle,False,1.846
p06,9,electric_guitar,CIPIC KEMAR,0,middle,up,False,3.388
p06,10,solo_violin,CIPIC KEMAR,0,middle,middle,True,8.145
p06,11,solo_violin,CIPIC Human,0,middle,up,False,3.835
p06,12,electric_guitar,CIPIC Human,-51,down,down,True,7.838
p07,1,electric_guitar,CIPIC KEMAR,0,middle,middle,True,6.128
p07,2,electric_guitar,CIPIC Human,0,middle,up,False,1.902
p07,3,electric_guitar,CIPIC KEMAR,51,up,up,True,3.585
p07,4,solo_violin,CIPIC KEMAR,-51,down,down,True,3.049
p07,5,solo_violin,CIPIC KEMAR,51,up,down,False,7.975
p07,6,solo_violin,CIPIC Human,51,up,middle,False,3.625
p07,7,electric_guitar,CIPIC Human,-51,down,up,False,11.077
p07,8,electric_guitar,CIPIC Human,51,up,down,False,3.507
p07,9,solo_violin,CIPIC KEMAR,0,middle,middle,True,5.624
p07,10,electric_guitar,CIPIC KEMAR,-51,down,down,True,4.066
p07,11,solo_violin,CIPIC Human,-51,down,up,False,2.686
p07,12,solo_violin,CIPIC Human,0,middle,down,False,4.592
p08,1,solo_violin,CIPIC Human,-51,down,down,True,4.969
p08,2,electric_guitar,CIPIC KEMAR,-51,down,middle,False,6.713
p08,3,solo_violin,CIPIC Human,51,up,up,True,4.629
p08,4,electric_guitar,CIPIC KEMAR,0,middle,middle,True,4.866
p08,5,electric_guitar,CIPIC Human,51,up,down,False,5.044
p08,6,solo_violin,CIPIC Human,0,middle,down,False,7.91
p08,7,solo_violin,CIPIC KEMAR,0,middle,down,False,5.165
p08,8,solo_violin,CIPIC KEMAR,-51,down,up,False,3.893
p08,9,solo_violin,CIPIC KEMAR,51,up,up,True,4.219
p08,10,electric_guitar,CIPIC Human,-51,down,middle,False,1.789
p08,11,electric_guitar,CIPIC Human,0,middle,middle,True,3.267
p08,12,electric_guitar,CIPIC KEMAR,51,up,up,True,3.388
p09,1,electric_guitar,CIPIC KEMAR,-51,down,up,False,2.818
p09,2,electric_guitar,CIPIC Human,-51,down,up,False,2.436
p09,3,solo_violin,CIPIC KEMAR,51,up,down,False,3.832
p09,4,solo_violin,CIPIC Human,0,middle,middle,True,2.297
p09,5,solo_violin,CIPIC Human,-51,down,up,False,3.408
p09,6,solo_violin,CIPIC KEMAR,0,middle,up,False,3.028
p09,7,electric_guitar,CIPIC KEMAR,51,up,middle,False,5.758
p09,8,electric_guitar,CIPIC Human,0,middle,up,False,2.943
p09,9,solo_violin,CIPIC Human,51,up,up,True,3.925
p09,10,solo_violin,CIPIC KEMAR,-51,down,down,True,3.944
p09,11,electric_guitar,CIPIC KEMAR,0,middle,middle,True,2.811
p09,12,electric_guitar,CIPIC Human,51,up,up,True,3.599
p10,1,solo_violin,CIPIC KEMAR,51,up,down,False,4.744
p10,2,electric_guitar,CIPIC KEMAR,0,middle,middle,True,3.225
p10,3,electric_guitar,CIPIC Human,-51,down,up,False,5.728
p10,4,electric_guitar,CIPIC KEMAR,51,up,middle,False,2.902
p10,5,electric_guitar,CIPIC Human,51,up,up,True,5.852
p10,6,solo_violin,CIPIC Human,0,middle,middle,True,3.612
p10,7,electric_guitar,CIPIC KEMAR,-51,down,down,True,2.391
p10,8,solo_violin,CIPIC KEMAR,0,middle,up,False,3.841
p10,9,electric_guitar,CIPIC Human,0,middle,up,False,3.591
p10,10,solo_violin,CIPIC KEMAR,-51,down,down,True,3.8
p10,11,solo_violin,CIPIC Human,-51,down,middle,False,3.39
p10,12,solo_violin,CIPIC Human,51,up,down,False,3.882
